REP,block,ENTRY,T1,T2,T3,T4
4,1,56,165.1127,50.0478,38.3821,23.7703
1,1,57,148.698,53.0726,36.5958,22.8047
2,1,57,150.6744,46.7432,27.7436,24.5422
3,1,57,145.1298,48.4826,33.575,21.6397
4,1,57,159.7489,52.4864,27.4681,24.3835
1,1,58,161.2381,40.8663,32.8508,18.0619
2,1,58,162.0606,37.0253,31.8368,17.0769
3,1,58,146.9281,51.9067,32.6551,21.2507
4,1,58,164.2503,43.7667,29.1529,18.2569
1,1,59,181.8055,43.9559,31.7747,23.9458
2,1,59,167.3486,39.5413,35.9281,26.8804
3,1,59,172.0824,39.4868,28.9745,27.2119
4,1,59,178.8894,38.6372,31.6053,26.3811
1,1,60,188.7912,43.2929,25.8559,31.3879
2,1,60,159.324,56.5218,30.9543,29.5633
3,1,60,156.9512,40.6411,26.7357,29.2835
4,1,60,168.2474,52.9829,23.4407,27.323
1,1,61,160.9823,36.2182,33.405,21.1872
2,1,61,171.6508,39.0807,33.5178,23.7943
3,1,61,177.6804,44.7112,34.4328,20.139
4,1,61,179.7285,38.1617,42.6728,24.4009
1,1,62,174.4098,42.9539,28.5346,25.8836
2,1,62,164.4401,46.0673,27.7235,24.9371
3,1,62,179.0801,35.9896,31.12,22.1289
4,1,62,170.6169,48.361,34.0729,28.4645
1,1,63,163.6664,44.7948,36.6715,23.5662
2,1,63,167.7504,45.3735,29.1809,21.1771
3,1,63,175.1684,49.4452,32.5766,21.6177
4,1,63,145.6338,41.1492,32.3645,23.2846
1,1,64,164.7443,35.4085,38.4971,28.5456
2,1,64,153.5872,42.2988,35.7879,22.3329
3,1,64,171.1123,41.6294,29.1343,24.6104
4,1,64,159.7114,41.4593,30.5511,26.1495
1,1,65,167.0883,42.4442,39.0765,24.1916
2,1,65,179.7493,42.8069,36.6861,23.79
3,1,65,155.7518,42.6408,34.5855,23.3634
4,1,65,179.3669,41.1936,35.853,22.8005
1,1,66,171.235,45.5252,37.466,25.4617
2,1,66,156.1974,51.1402,35.2066,26.312
3,1,66,169.297,41.8357,39.1468,24.7911
4,1,66,166.7229,40.5589,37.2842,24.0404
1,1,67,139.8035,37.6995,35.3289,29.0177
2,1,67,160.3866,47.7556,40.0457,25.1376
3,1,67,160.7117,46.935,36.2977,24.9847
4,1,67,172.3853,49.8772,36.0607,26.6915
1,1,68,179.1927,40.9739,41.0166,19.4447
2,1,68,173.2716,25.9145,36.6162,18.6907
3,1,68,163.4185,42.7121,32.126,18.1004
4,1,68,174.3748,39.1097,37.0487,17.3599
1,1,69,158.2911,42.4926,34.2369,22.4219
2,1,69,150.6425,45.6921,31.7598,17.4476
3,1,69,168.8557,48.6782,26.9666,18.3503
4,1,69,141.2409,50.0816,31.0117,18.3385
1,1,70,143.1237,39.6138,36.2984,23.9981
2,1,70,138.5384,48.0226,31.6841,22.8745
3,1,70,178.4744,46.9183,28.7119,20.1004
4,1,70,168.7516,42.0456,27.9046,23.5326
1,1,71,180.53,46.1555,40.6938,20.2708
2,1,71,161.983,53.7619,33.876,22.1302
3,1,71,169.663,46.5753,42.9989,22.4451
4,1,71,163.2679,47.7198,37.3813,23.9219
1,1,72,144.5759,42.6166,32.1444,17.577
2,1,72,160.2972,49.0431,30.9706,20.8399
3,1,72,168.0921,46.9092,31.6322,21.5888
4,1,72,148.8427,48.3418,37.2376,22.064
1,1,73,173.4503,43.4176,30.6846,19.36
2,1,73,153.8491,48.926,29.9346,19.4572
3,1,73,163.2791,48.2071,32.0421,17.8146
4,1,73,173.4017,49.3885,34.3659,20.1785
1,1,74,170.1285,43.859,42.9241,20.1472
2,1,74,158.5693,47.3097,41.0342,17.4722
3,1,74,170.6327,43.9101,34.9613,18.3614
4,1,74,147.3619,46.0817,36.2035,18.9923
1,1,75,162.7712,50.5492,32.1143,26.0829
2,1,75,162.401,48.4793,36.1342,23.3796
3,1,75,154.2878,53.9352,30.1412,21.6473
4,1,75,153.0402,46.4814,33.8379,23.9537
1,1,76,157.533,40.6315,39.7509,26.6881
2,1,76,156.8333,31.4483,39.3545,26.5136
3,1,76,165.5096,37.5262,40.0483,26.7627
4,1,76,163.3887,42.3221,39.5282,29.5296
1,1,77,142.4365,33.6382,31.2029,22.1052
2,1,77,147.8936,42.5009,30.3885,20.7901
3,1,77,167.6606,40.4154,34.83,20.2944
4,1,77,162.8596,37.9205,28.0908,20.5166
1,1,78,160.5325,46.9652,42.5318,18.8127
2,1,78,162.2018,46.5693,38.3155,20.2498
3,1,78,162.1254,36.8953,41.4058,18.9781
4,1,78,176.9454,44.1554,39.4404,20.2214
1,1,79,145.9706,38.8001,40.4004,16.6765
2,1,79,168.8116,38.1967,40.5337,18.8399
3,1,79,158.5868,36.4382,31.1141,18.6561
4,1,79,164.8563,38.9563,36.5887,19.5507
1,1,80,169.0789,40.3401,34.3274,20.6849
2,1,80,154.0912,41.9768,27.631,21.0149
3,1,80,152.0635,36.3724,38.1385,22.5792
4,1,80,160.2897,41.7181,36.37,22.4372
1,1,81,163.2467,47.9541,34.9719,24.39
2,1,81,163.5009,45.7317,30.7542,22.1644
3,1,81,151.1965,46.3403,29.2726,21.2367
4,1,81,138.83,47.2986,29.03,24.4071
1,1,82,156.416,47.9617,35.6299,22.1862
2,1,82,166.8865,40.1494,40.9007,21.4202
3,1,82,172.4019,48.7407,40.7038,21.1205
4,1,82,157.5033,43.5152,31.1333,19.1198
1,1,83,162.8472,37.5072,42.4377,22.5271
2,1,83,169.9703,37.7057,32.9687,24.465
3,1,83,168.9006,40.7874,40.1185,23.466
4,1,83,157.6563,41.2189,39.3575,24.5188
1,1,84,160.5784,39.1011,24.758,23.3204
2,1,84,142.7859,45.8302,33.371,26.2156
3,1,84,173.6207,32.9505,26.4977,28.4656
4,1,84,172.8749,41.0929,33.0496,28.0834
1,1,85,166.1687,45.2161,38.7297,22.6029
2,1,85,174.4987,46.2687,44.6991,25.2821
3,1,85,154.9989,42.7944,42.1681,23.9404
4,1,85,158.0361,45.2832,40.9159,24.1498
1,1,86,159.1325,37.0624,30.5916,24.2966
2,1,86,184.9224,31.2414,32.0937,24.1641
3,1,86,151.5916,44.6922,32.6211,23.5654
4,1,86,181.3718,39.737,32.6006,22.5263
1,1,87,167.0538,43.4303,32.9846,23.4151
2,1,87,169.2897,47.5064,29.7823,22.4968
3,1,87,157.1109,41.9828,32.2801,20.6346
4,1,87,154.7245,51.6956,24.7877,24.9028
1,1,88,174.1019,43.4842,37.0382,25.7655
2,1,88,157.1781,39.8831,39.2064,23.3545
3,1,88,161.1986,42.7538,43.6393,23.4756
4,1,88,177.017,36.3926,38.2041,23.5616
1,1,89,190.0524,36.5911,36.3633,15.9603
2,1,89,150.8221,45.5934,29.6925,17.7252
3,1,89,172.3313,43.4088,31.6318,19.2116
4,1,89,152.6962,39.5817,29.7538,12.9294
1,1,90,159.5976,42.9916,36.6882,18.6642
2,1,90,148.3263,51.0108,35.0579,18.5448
3,1,90,161.347,39.1548,33.6201,18.8379
4,1,90,154.5064,43.2973,33.5525,17.9742
1,1,91,153.6638,59.392,31.5134,21.2634
2,1,91,148.8376,56.7301,29.6339,21.1505
3,1,91,156.2793,60.2654,29.5569,15.6631
4,1,91,150.5934,58.0104,29.3692,18.0358
1,1,92,176.9622,39.5362,39.5726,19.766
2,1,92,166.6855,45.0356,39.5302,15.7825
3,1,92,159.9364,35.7734,40.0779,17.8478
4,1,92,153.3617,46.9067,31.4364,16.062
1,1,93,154.7269,45.575,31.768,21.055
2,1,93,131.7023,51.0097,30.2709,16.5354
3,1,93,164.881,46.9741,37.0812,17.6069
4,1,93,173.295,46.1316,32.3181,21.2457
1,1,94,157.6113,49.5673,31.5022,23.9728
2,1,94,174.8113,46.5447,29.9072,23.2658
3,1,94,150.4058,41.0325,30.4657,23.8423
4,1,94,160.9491,54.8463,32.1074,23.2934
1,1,95,170.8992,44.2488,36.0283,27.6519
2,1,95,156.1297,42.3564,34.8443,25.9076
3,1,95,165.931,53.7098,30.2215,28.8619
4,1,95,168.2595,47.4169,36.8852,27.2096
1,1,96,152.8249,51.0124,27.6338,21.8903
2,1,96,150.4374,50.654,34.4189,22.8311
3,1,96,143.6232,52.7423,35.6119,20.8715
4,1,96,152.8869,43.5218,34.8619,20.7509
1,1,97,171.9791,38.4802,40.9336,21.376
2,1,97,155.2738,37.5955,37.9115,21.772
3,1,97,166.255,40.2673,33.8019,22.4131
4,1,97,141.7434,44.6871,36.153,21.687
