ENTRY,GY,PH,SD
(CML543/CML566)//CKDHL1715711,6.99882595,234.6965769,74.6232485
(CML543/CML566)//CKDHL1715713,6.739274064,228.3363987,73.85787823
(CML543/CML566)//CKDHL1715714,6.824855723,240.0369157,75.17779348
(CML543/CML566)//CKDHL1715716,6.81925227,232.7523337,74.08769812
(CML543/CML566)//CKDHL1715717,6.721949458,228.8768693,71.0501153
(CML543/CML566)//CKDHL1715718,7.932825791,236.0194782,75.31598945
(CML543/CML566)//CKDHL1715724,6.600383626,242.9134861,76.38612835
(CML543/CML566)//CKDHL1715726,7.051082222,244.3531671,73.84851864
(CML543/CML566)//CKDHL1715729,6.631812888,225.7846164,75.79685547
(CML543/CML566)//CKDHL1715731,6.650194203,238.0502953,74.62326182
(CML543/CML566)//CKDHL1715735,7.065454009,239.0589754,73.87261801
(CML543/CML566)//CKDHL1715738,6.749627223,242.3496789,74.33762843
(CML543/CML566)//CKDHL1715741,6.458187605,244.800057,74.66959773
(CML543/CML566)//CKDHL1715744,7.44956988,242.930684,75.65544306
(CML543/CML566)//CKDHL1715745,6.696466536,235.2108552,74.17377762
(CML543/CML566)//CKDHL1715746,6.838628756,246.9074451,73.46147491
(CML543/CML566)//CKDHL1715747,7.264488209,236.6413295,76.79105743
(CML543/CML566)//CKDHL1715749,7.680237408,245.8837349,75.90486363
(CML543/CML566)//CKDHL1715751,7.304050977,241.2488618,75.66621984
(CML543/CML566)//CKDHL1715752,6.999263298,232.9230035,73.64988821
(CML543/CML566)//CKDHL1715754,7.125892301,247.1895841,74.22315516
(CML543/CML566)//CKDHL1715756,6.379154134,232.7747405,75.08371827
(CML543/CML566)//CKDHL1715760,7.186626195,239.691602,75.07678229
(CML543/CML566)//CKDHL1715764,7.363288745,238.248106,74.93388846
(CML543/CML566)//CKDHL1715766,6.557975208,236.4417441,73.8855005
(CML543/CML566)//CKDHL1715768,7.526892107,245.9405406,74.07984202
(CML543/CML566)//CKDHL1715769,6.682362813,226.5629073,75.49895481
(CML543/CML566)//CKDHL1715772,7.072434475,241.6106204,72.92260988
(CML543/CML566)//CKDHL1715773,6.547820192,234.8578943,75.10889501
(CML543/CML566)//CKDHL1715774,6.765480599,242.2311364,76.28173634
(CML543/CML566)//CKDHL1715775,7.438312936,244.5716298,75.79404468
(CML543/CML566)//CKDHL1715777,6.279705736,232.2328049,73.57245051
(CML543/CML566)//CKDHL1715778,6.294778007,237.562787,77.11428998
(CML543/CML566)//CKDHL1715779,5.929789419,232.0386705,73.36578383
(CML543/CML566)//CKDHL1715787,6.805919196,242.5262748,75.37641171
(CML543/CML566)//CKDHL1715789,6.612495606,229.8024197,72.92836382
(CML543/CML566)//CKDHL1715790,6.994648554,244.4457874,75.61198646
